EVENTID,AUTHOR,DATE,TIME,LAT,LON,DEPTH,TYPE,MAG
16957826,ISC      ,30/8/04,43:37.6,25.5166,97.0211,15,mB    ,7.6
914281,GUTE     ,31/8/06,14:57:30,27,97,100,MS    ,7
16957984,ISC      ,9/2/08,13:17.6,29.2781,100.6556,15,MS    ,6.7
16958007,ISC      ,12/12/08,54:57.3,26.9477,96.7734,15,MS    ,7
16958191,ISC      ,23/5/12,24:04.1,21.0361,96.7366,15,MS    ,7.5
914108,ISC      ,21/12/13,37:56.5,24.2449,102.2274,15,MS    ,6.6
913976,GUTE     ,28/3/14,10:44:48,25,99,100,MS    ,6.9
913954,ISC      ,3/12/15,39:24.5,27.6997,91.6401,15,MS    ,6.5
913196,ISC      ,8/7/18,22:08.9,24.599,90.8528,15,MS    ,7.2
911885,ISC      ,2/5/22,10:53.4,20.0485,98.2534,35,MS    ,6.7
911420,ISC      ,22/6/23,44:40.3,22.8451,98.7111,25,MS    ,7.3
911634,ISC      ,9/9/23,03:46.7,24.9372,90.7207,15,MS    ,6.9
909833,GUTE     ,10/5/26,8:19:10,26,97,80,MS    ,6.2
909854,GUTE     ,29/5/26,22:37:32,15,92,35,MS    ,5.6
909145,GUTE     ,15/3/27,16:56:32,24.5,95,130,MS    ,6.5
908257,ISC      ,8/8/29,57:18.0,19.3169,95.8375,15,MS    ,6.6
908352,ISC      ,16/10/29,27:37.5,25.9237,98.0525,15,MS    ,6.2
907341,ISC      ,28/4/30,34:41.1,25.485,98.4523,35,MS    ,6.2
907352,ISC      ,5/5/30,46:01.8,17.8596,96.43,35,MS    ,7.5
907472,ISC      ,2/7/30,03:43.9,25.9288,90.1765,15,MS    ,7.2
907598,ISC      ,21/9/30,04:16.6,25.8059,98.6093,15,MS    ,6.9
907603,GUTE     ,22/9/30,14:19:11,25,94,35,MS    ,6.2
907773,ISC      ,2/12/30,01:31.0,25.8544,98.3564,35,MS    ,6.1
907777,ISC      ,3/12/30,51:47.1,18.2335,96.2981,10,MS    ,7.5
906595,ISC      ,27/1/31,09:19.6,25.8505,96.7897,15,MS    ,7.6
906619,GUTE     ,10/2/31,1:22:54,25.5,96,35,MS    ,5.6
906794,GUTE     ,27/5/31,0:43:29,27.5,98.5,35,MS    ,5.6
906991,GUTE     ,6/9/31,5:38:07,18.5,96,35,MS    ,5.6
907085,GUTE     ,18/10/31,7:06:40,26,98,35,MS    ,5.6
907142,GUTE     ,30/11/31,17:01:36,15.5,92.5,35,MS    ,5.6
905971,GUTE     ,3/1/32,7:50:23,25.5,98.5,35,MS    ,5.6
906052,GUTE     ,6/3/32,0:17:56,25.5,92.5,35,MS    ,5.6
906078,GUTE     ,24/3/32,16:08:36,25,90,35,MS    ,5.6
906084,GUTE     ,27/3/32,8:44:40,24.5,92,35,MS    ,5.6
906332,ISC      ,14/8/32,39:37.2,25.8368,95.6386,110,MS    ,7
906449,GUTE     ,9/11/32,18:30:09,26.5,92,35,MS    ,5.6
905449,GUTE     ,6/3/33,13:05:35,26,90.5,35,MS    ,5.6
905625,GUTE     ,7/6/33,11:46:06,27.25,100.25,35,MS    ,6.2
905678,GUTE     ,3/7/33,15:09:05,19,97,35,MS    ,5.6
905757,ISC      ,11/8/33,54:03.7,25.6552,98.403,10,MS    ,6.3
905918,GUTE     ,19/11/33,9:08:29,25,98,35,MS    ,5.6
904753,GUTE     ,19/1/34,12:33:07,25.5,98.25,35,MS    ,6
904959,GUTE     ,2/6/34,5:54:29,24.5,95,130,MS    ,6.5
904245,GUTE     ,23/4/35,16:45:41,24,94.75,110,MS    ,6.2
903483,GUTE     ,21/2/36,6:20:40,23,96,35,MS    ,5.6
903225,ISC      ,31/8/37,15:11.0,26.0145,96.708,15,MS    ,6.5
902434,ISC      ,14/4/38,16:35.0,23.2276,94.4628,105,MS    ,6.8
902472,GUTE     ,6/5/38,3:41:08,24.5,95,100,MS    ,5.8
902629,ISC      ,16/8/38,28:01.3,22.7523,93.9154,75,MS    ,7
901993,ISC      ,27/5/39,45:46.5,24.3996,94.0825,65.7,MS    ,5.9
902031,GUTE     ,19/6/39,21:56:40,23.5,94,35,MS    ,5.6
901329,GUTE     ,11/5/40,21:00:20,23.75,94.25,80,MS    ,6.5
900628,ISC      ,21/1/41,41:46.1,27.1659,91.8596,15,MS    ,6.6
900633,GUTE     ,27/1/41,2:30:16,26.5,92.5,180,MS    ,6.5
900674,GUTE     ,23/2/41,9:56:40,28,96,90,MS    ,5.5
900812,ISC      ,16/5/41,14:36.8,23.7137,99.2474,25,MS    ,7
900819,GUTE     ,22/5/41,1:00:32,27.5,93,35,MS    ,5.6
901133,ISC      ,26/12/41,48:06.2,22.4084,99.8142,10,MS    ,7.2
900054,ISC      ,23/10/43,23:21.1,26.6373,93.8518,15,MS    ,7.2
898579,ISC      ,12/9/46,17:23.9,24.0536,95.6662,15,MS    ,7.9
898580,ISC      ,12/9/46,20:27.2,23.3121,95.5233,15,MS    ,7.8
895183,ISC      ,2/2/50,33:47.5,21.9509,99.9695,35,MS    ,7
895184,ISC      ,3/2/50,51:55.2,21.8145,99.9832,35,MS    ,6.7
